STRING SIZE: 10000000 | NUMBER OF TESTS: 20
Test (ArrayList) 1 (Single Thread)	Time: 84941.0microsec | Memory: 70575KB
Test (ArrayList) 1 (4 Thread)	Time: 86074.0microsec | Memory: 41961KB
Test (ArrayList) 1 (8 Thread)	Time: 66254.0microsec | Memory: 50338KB
Test (ArrayList) 1 (16 Thread)	Time: 89716.0microsec | Memory: 41983KB
Test (ArrayList) 2 (Single Thread)	Time: 62511.0microsec | Memory: 77605KB
Test (ArrayList) 2 (4 Thread)	Time: 56901.0microsec | Memory: 41961KB
Test (ArrayList) 2 (8 Thread)	Time: 62856.0microsec | Memory: 51387KB
Test (ArrayList) 2 (16 Thread)	Time: 58390.0microsec | Memory: 41986KB
Test (ArrayList) 3 (Single Thread)	Time: 56707.0microsec | Memory: 41957KB
Test (ArrayList) 3 (4 Thread)	Time: 57592.0microsec | Memory: 41961KB
Test (ArrayList) 3 (8 Thread)	Time: 57110.0microsec | Memory: 41968KB
Test (ArrayList) 3 (16 Thread)	Time: 58534.0microsec | Memory: 45754KB
Test (ArrayList) 4 (Single Thread)	Time: 65141.0microsec | Memory: 77522KB
Test (ArrayList) 4 (4 Thread)	Time: 57777.0microsec | Memory: 42718KB
Test (ArrayList) 4 (8 Thread)	Time: 64102.0microsec | Memory: 50340KB
Test (ArrayList) 4 (16 Thread)	Time: 58498.0microsec | Memory: 41974KB
Test (ArrayList) 5 (Single Thread)	Time: 64306.0microsec | Memory: 77522KB
Test (ArrayList) 5 (4 Thread)	Time: 56811.0microsec | Memory: 41961KB
Test (ArrayList) 5 (8 Thread)	Time: 56484.0microsec | Memory: 44062KB
Test (ArrayList) 5 (16 Thread)	Time: 60811.0microsec | Memory: 41987KB
Test (ArrayList) 6 (Single Thread)	Time: 55069.0microsec | Memory: 41955KB
Test (ArrayList) 6 (4 Thread)	Time: 63044.0microsec | Memory: 79699KB
Test (ArrayList) 6 (8 Thread)	Time: 54896.0microsec | Memory: 41963KB
Test (ArrayList) 6 (16 Thread)	Time: 55680.0microsec | Memory: 50248KB
Test (ArrayList) 7 (Single Thread)	Time: 56000.0microsec | Memory: 41957KB
Test (ArrayList) 7 (4 Thread)	Time: 55200.0microsec | Memory: 41960KB
Test (ArrayList) 7 (8 Thread)	Time: 65129.0microsec | Memory: 83894KB
