ARRAY SIZE: 10000000 | NUMBER OF TESTS: 20
 | NUMBER OF TIME SLOTS: 100000
Test (ArrayList) 1 (Single Thread)	Time: 3103713.0microsec | Memory: 178251KB
Test (ArrayList) 1 (4 Thread)	Time: 2288865.0microsec | Memory: 175058KB
Test (ArrayList) 1 (8 Thread)	Time: 2310897.0microsec | Memory: 240076KB
Test (ArrayList) 1 (16 Thread)	Time: 1971100.0microsec | Memory: 175028KB
Test (ArrayList) 2 (Single Thread)	Time: 4618387.0microsec | Memory: 119541KB
Test (ArrayList) 2 (4 Thread)	Time: 2259254.0microsec | Memory: 157290KB
Test (ArrayList) 2 (8 Thread)	Time: 1859954.0microsec | Memory: 1899761KB
Test (ArrayList) 2 (16 Thread)	Time: 2057863.0microsec | Memory: 175026KB
Test (ArrayList) 3 (Single Thread)	Time: 4029057.0microsec | Memory: 404754KB
Test (ArrayList) 3 (4 Thread)	Time: 2097352.0microsec | Memory: 175026KB
Test (ArrayList) 3 (8 Thread)	Time: 1894947.0microsec | Memory: 710938KB
Test (ArrayList) 3 (16 Thread)	Time: 1926599.0microsec | Memory: 175026KB
Test (ArrayList) 4 (Single Thread)	Time: 4312912.0microsec | Memory: 278923KB
Test (ArrayList) 4 (4 Thread)	Time: 1996013.0microsec | Memory: 918131KB
Test (ArrayList) 4 (8 Thread)	Time: 1861492.0microsec | Memory: 175028KB
Test (ArrayList) 4 (16 Thread)	Time: 1789333.0microsec | Memory: 263058KB
Test (ArrayList) 5 (Single Thread)	Time: 4501268.0microsec | Memory: 283119KB
Test (ArrayList) 5 (4 Thread)	Time: 2065053.0microsec | Memory: 175028KB
Test (ArrayList) 5 (8 Thread)	Time: 1984122.0microsec | Memory: 175028KB
Test (ArrayList) 5 (16 Thread)	Time: 1911083.0microsec | Memory: 398463KB
Test (ArrayList) 6 (Single Thread)	Time: 4374109.0microsec | Memory: 278923KB
Test (ArrayList) 6 (4 Thread)	Time: 2238032.0microsec | Memory: 299894KB
Test (ArrayList) 6 (8 Thread)	Time: 1845761.0microsec | Memory: 175028KB
