ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16 | KNAPSACK CAPACITY: 100000
Test 1 (Single Thread)	Time: 7.021s | 7021.0ms
Test 1 (Multi Thread)	Time: 5.412s | 5412.0ms
Test 2 (Single Thread)	Time: 10.172s | 10172.0ms
Test 2 (Multi Thread)	Time: 4.304s | 4304.0ms
Test 3 (Single Thread)	Time: 9.983s | 9983.0ms
Test 3 (Multi Thread)	Time: 3.42s | 3420.0ms
Test 4 (Single Thread)	Time: 9.63s | 9630.0ms
Test 4 (Multi Thread)	Time: 4.001s | 4001.0ms
Test 5 (Single Thread)	Time: 10.546s | 10546.0ms
Test 5 (Multi Thread)	Time: 4.311s | 4311.0ms
Test 6 (Single Thread)	Time: 10.17s | 10170.0ms
Test 6 (Multi Thread)	Time: 4.043s | 4043.0ms
Test 7 (Single Thread)	Time: 8.487s | 8487.0ms
Test 7 (Multi Thread)	Time: 4.013s | 4013.0ms
Test 8 (Single Thread)	Time: 10.087s | 10087.0ms
Test 8 (Multi Thread)	Time: 3.877s | 3877.0ms
Test 9 (Single Thread)	Time: 9.713s | 9713.0ms
Test 9 (Multi Thread)	Time: 3.355s | 3355.0ms
Test 10 (Single Thread)	Time: 8.655s | 8655.0ms
Test 10 (Multi Thread)	Time: 3.347s | 3347.0ms
Test 11 (Single Thread)	Time: 10.36s | 10360.0ms
Test 11 (Multi Thread)	Time: 4.01s | 4010.0ms
Test 12 (Single Thread)	Time: 9.219s | 9219.0ms
Test 12 (Multi Thread)	Time: 3.283s | 3283.0ms
Test 13 (Single Thread)	Time: 8.614s | 8614.0ms
Test 13 (Multi Thread)	Time: 3.302s | 3302.0ms
Test 14 (Single Thread)	Time: 8.633s | 8633.0ms
Test 14 (Multi Thread)	Time: 3.43s | 3430.0ms
Test 15 (Single Thread)	Time: 10.394s | 10394.0ms
Test 15 (Multi Thread)	Time: 3.338s | 3338.0ms
Test 16 (Single Thread)	Time: 8.645s | 8645.0ms
Test 16 (Multi Thread)	Time: 3.673s | 3673.0ms
Test 17 (Single Thread)	Time: 7.938s | 7938.0ms
Test 17 (Multi Thread)	Time: 2.986s | 2986.0ms
Test 18 (Single Thread)	Time: 8.2s | 8200.0ms
Test 18 (Multi Thread)	Time: 3.077s | 3077.0ms
Test 19 (Single Thread)	Time: 8.333s | 8333.0ms
Test 19 (Multi Thread)	Time: 3.333s | 3333.0ms
Test 20 (Single Thread)	Time: 8.786s | 8786.0ms
Test 20 (Multi Thread)	Time: 3.164s | 3164.0ms
Test 21 (Single Thread)	Time: 8.1s | 8100.0ms
Test 21 (Multi Thread)	Time: 3.089s | 3089.0ms
Test 22 (Single Thread)	Time: 9.089s | 9089.0ms
Test 22 (Multi Thread)	Time: 4.496s | 4496.0ms
Test 23 (Single Thread)	Time: 10.725s | 10725.0ms
Test 23 (Multi Thread)	Time: 3.773s | 3773.0ms
Test 24 (Single Thread)	Time: 9.702s | 9702.0ms
Test 24 (Multi Thread)	Time: 3.368s | 3368.0ms
Test 25 (Single Thread)	Time: 8.241s | 8241.0ms
Test 25 (Multi Thread)	Time: 3.407s | 3407.0ms
Test 26 (Single Thread)	Time: 8.425s | 8425.0ms
Test 26 (Multi Thread)	Time: 3.465s | 3465.0ms
Test 27 (Single Thread)	Time: 8.651s | 8651.0ms
Test 27 (Multi Thread)	Time: 3.715s | 3715.0ms
Test 28 (Single Thread)	Time: 8.902s | 8902.0ms
Test 28 (Multi Thread)	Time: 3.229s | 3229.0ms
Test 29 (Single Thread)	Time: 8.44s | 8440.0ms
Test 29 (Multi Thread)	Time: 3.693s | 3693.0ms
Test 30 (Single Thread)	Time: 8.263s | 8263.0ms
Test 30 (Multi Thread)	Time: 3.697s | 3697.0ms
Test 31 (Single Thread)	Time: 10.25s | 10250.0ms
Test 31 (Multi Thread)	Time: 3.31s | 3310.0ms
Test 32 (Single Thread)	Time: 9.4s | 9400.0ms
Test 32 (Multi Thread)	Time: 3.569s | 3569.0ms
Test 33 (Single Thread)	Time: 9.446s | 9446.0ms
Test 33 (Multi Thread)	Time: 3.507s | 3507.0ms
Test 34 (Single Thread)	Time: 10.352s | 10352.0ms
Test 34 (Multi Thread)	Time: 3.71s | 3710.0ms
Test 35 (Single Thread)	Time: 8.968s | 8968.0ms
Test 35 (Multi Thread)	Time: 3.744s | 3744.0ms
Test 36 (Single Thread)	Time: 9.203s | 9203.0ms
Test 36 (Multi Thread)	Time: 4.305s | 4305.0ms
Test 37 (Single Thread)	Time: 9.701s | 9701.0ms
Test 37 (Multi Thread)	Time: 3.754s | 3754.0ms
Test 38 (Single Thread)	Time: 9.881s | 9881.0ms
Test 38 (Multi Thread)	Time: 3.878s | 3878.0ms
Test 39 (Single Thread)	Time: 9.807s | 9807.0ms
