ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 1 (Standard)	Time: 3.971s | 3971.0ms
Test 1 (Parallel)	Time: 3.172s | 3172.0ms
Test 2 (Standard)	Time: 4.721s | 4721.0ms
Test 2 (Parallel)	Time: 3.355s | 3355.0ms
Test 3 (Standard)	Time: 4.665s | 4665.0ms
Test 3 (Parallel)	Time: 2.978s | 2978.0ms
Test 4 (Standard)	Time: 4.936s | 4936.0ms
Test 4 (Parallel)	Time: 2.558s | 2558.0ms
Test 5 (Standard)	Time: 4.564s | 4564.0ms
Test 5 (Parallel)	Time: 2.005s | 2005.0ms
Test 6 (Standard)	Time: 4.623s | 4623.0ms
Test 6 (Parallel)	Time: 2.337s | 2337.0ms
Test 7 (Standard)	Time: 4.131s | 4131.0ms
Test 7 (Parallel)	Time: 3.113s | 3113.0ms
Test 8 (Standard)	Time: 4.782s | 4782.0ms
Test 8 (Parallel)	Time: 2.312s | 2312.0ms
Test 9 (Standard)	Time: 4.189s | 4189.0ms
Test 9 (Parallel)	Time: 2.783s | 2783.0ms
Test 10 (Standard)	Time: 4.102s | 4102.0ms
Test 10 (Parallel)	Time: 2.377s | 2377.0ms
Test 11 (Standard)	Time: 4.612s | 4612.0ms
Test 11 (Parallel)	Time: 2.185s | 2185.0ms
Test 12 (Standard)	Time: 5.522s | 5522.0ms
Test 12 (Parallel)	Time: 2.666s | 2666.0ms
Test 13 (Standard)	Time: 4.352s | 4352.0ms
Test 13 (Parallel)	Time: 2.106s | 2106.0ms
Test 14 (Standard)	Time: 4.105s | 4105.0ms
Test 14 (Parallel)	Time: 2.218s | 2218.0ms
Test 15 (Standard)	Time: 5.494s | 5494.0ms
Test 15 (Parallel)	Time: 2.518s | 2518.0ms
Test 16 (Standard)	Time: 4.32s | 4320.0ms
Test 16 (Parallel)	Time: 2.099s | 2099.0ms
Test 17 (Standard)	Time: 4.317s | 4317.0ms
Test 17 (Parallel)	Time: 2.141s | 2141.0ms
Test 18 (Standard)	Time: 4.311s | 4311.0ms
Test 18 (Parallel)	Time: 1.987s | 1987.0ms
Test 19 (Standard)	Time: 5.562s | 5562.0ms
Test 19 (Parallel)	Time: 2.698s | 2698.0ms
Test 20 (Standard)	Time: 4.32s | 4320.0ms
Test 20 (Parallel)	Time: 2.153s | 2153.0ms
Test 21 (Standard)	Time: 4.314s | 4314.0ms
Test 21 (Parallel)	Time: 2.301s | 2301.0ms
Test 22 (Standard)	Time: 4.313s | 4313.0ms
Test 22 (Parallel)	Time: 2.341s | 2341.0ms
Test 23 (Standard)	Time: 4.32s | 4320.0ms
Test 23 (Parallel)	Time: 2.287s | 2287.0ms
Test 24 (Standard)	Time: 4.318s | 4318.0ms
Test 24 (Parallel)	Time: 2.135s | 2135.0ms
Test 25 (Standard)	Time: 5.566s | 5566.0ms
Test 25 (Parallel)	Time: 2.686s | 2686.0ms
Test 26 (Standard)	Time: 4.376s | 4376.0ms
Test 26 (Parallel)	Time: 2.426s | 2426.0ms
Test 27 (Standard)	Time: 5.923s | 5923.0ms
Test 27 (Parallel)	Time: 2.814s | 2814.0ms
Test 28 (Standard)	Time: 4.546s | 4546.0ms
Test 28 (Parallel)	Time: 2.278s | 2278.0ms
Test 29 (Standard)	Time: 4.358s | 4358.0ms
Test 29 (Parallel)	Time: 2.346s | 2346.0ms
Test 30 (Standard)	Time: 4.348s | 4348.0ms
Test 30 (Parallel)	Time: 2.006s | 2006.0ms
Test 31 (Standard)	Time: 5.743s | 5743.0ms
Test 31 (Parallel)	Time: 2.717s | 2717.0ms
Test 32 (Standard)	Time: 4.361s | 4361.0ms
Test 32 (Parallel)	Time: 1.621s | 1621.0ms
Test 33 (Standard)	Time: 5.674s | 5674.0ms
Test 33 (Parallel)	Time: 2.714s | 2714.0ms
