ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16
Test 1 (Standard)	Time: 3.142s | 3142.0ms
Test 1 (Parallel)	Time: 1.631s | 1631ms
Test 2 (Standard)	Time: 4.277s | 4277.0ms
Test 2 (Parallel)	Time: 1.846s | 1846ms
Test 3 (Standard)	Time: 4.03s | 4030.0ms
Test 3 (Parallel)	Time: 1.803s | 1803ms
Test 4 (Standard)	Time: 4.035s | 4035.0ms
Test 4 (Parallel)	Time: 1.765s | 1765ms
Test 5 (Standard)	Time: 4.007s | 4007.0ms
Test 5 (Parallel)	Time: 1.722s | 1722ms
Test 6 (Standard)	Time: 3.996s | 3996.0ms
Test 6 (Parallel)	Time: 1.751s | 1751ms
Test 7 (Standard)	Time: 4.262s | 4262.0ms
Test 7 (Parallel)	Time: 1.948s | 1948ms
Test 8 (Standard)	Time: 5.008s | 5008.0ms
Test 8 (Parallel)	Time: 2.016s | 2016ms
Test 9 (Standard)	Time: 4.96s | 4960.0ms
Test 9 (Parallel)	Time: 2.043s | 2043ms
Test 10 (Standard)	Time: 5.022s | 5022.0ms
Test 10 (Parallel)	Time: 1.87s | 1870ms
Test 11 (Standard)	Time: 4.925s | 4925.0ms
Test 11 (Parallel)	Time: 1.892s | 1892ms
Test 12 (Standard)	Time: 4.379s | 4379.0ms
Test 12 (Parallel)	Time: 1.682s | 1682ms
Test 13 (Standard)	Time: 4.36s | 4360.0ms
Test 13 (Parallel)	Time: 1.648s | 1648ms
Test 14 (Standard)	Time: 4.358s | 4358.0ms
Test 14 (Parallel)	Time: 1.684s | 1684ms
Test 15 (Standard)	Time: 4.379s | 4379.0ms
Test 15 (Parallel)	Time: 1.671s | 1671ms
Test 16 (Standard)	Time: 4.597s | 4597.0ms
Test 16 (Parallel)	Time: 2.031s | 2031ms
Test 17 (Standard)	Time: 4.732s | 4732.0ms
Test 17 (Parallel)	Time: 2.029s | 2029ms
Test 18 (Standard)	Time: 4.333s | 4333.0ms
Test 18 (Parallel)	Time: 1.941s | 1941ms
Test 19 (Standard)	Time: 5.07s | 5070.0ms
Test 19 (Parallel)	Time: 2.451s | 2451ms
Test 20 (Standard)	Time: 4.492s | 4492.0ms
Test 20 (Parallel)	Time: 1.868s | 1868ms
Test 21 (Standard)	Time: 5.491s | 5491.0ms
Test 21 (Parallel)	Time: 2.289s | 2289ms
Test 22 (Standard)	Time: 4.812s | 4812.0ms
Test 22 (Parallel)	Time: 2.947s | 2947ms
Test 23 (Standard)	Time: 5.189s | 5189.0ms
Test 23 (Parallel)	Time: 2.209s | 2209ms
Test 24 (Standard)	Time: 4.528s | 4528.0ms
Test 24 (Parallel)	Time: 1.981s | 1981ms
Test 25 (Standard)	Time: 4.322s | 4322.0ms
Test 25 (Parallel)	Time: 2.27s | 2270ms
Test 26 (Standard)	Time: 6.84s | 6840.0ms
Test 26 (Parallel)	Time: 2.613s | 2613ms
Test 27 (Standard)	Time: 5.797s | 5797.0ms
Test 27 (Parallel)	Time: 2.708s | 2708ms
Test 28 (Standard)	Time: 4.696s | 4696.0ms
Test 28 (Parallel)	Time: 2.004s | 2004ms
Test 29 (Standard)	Time: 4.513s | 4513.0ms
Test 29 (Parallel)	Time: 1.588s | 1588ms
Test 30 (Standard)	Time: 5.167s | 5167.0ms
Test 30 (Parallel)	Time: 2.085s | 2085ms
Test 31 (Standard)	Time: 3.919s | 3919.0ms
Test 31 (Parallel)	Time: 1.78s | 1780ms
Test 32 (Standard)	Time: 4.489s | 4489.0ms
Test 32 (Parallel)	Time: 1.639s | 1639ms
Test 33 (Standard)	Time: 4.079s | 4079.0ms
Test 33 (Parallel)	Time: 1.748s | 1748ms
Test 34 (Standard)	Time: 4.094s | 4094.0ms
Test 34 (Parallel)	Time: 1.964s | 1964ms
Test 35 (Standard)	Time: 4.465s | 4465.0ms
Test 35 (Parallel)	Time: 1.789s | 1789ms
Test 36 (Standard)	Time: 4.449s | 4449.0ms
Test 36 (Parallel)	Time: 1.772s | 1772ms
Test 37 (Standard)	Time: 4.51s | 4510.0ms
Test 37 (Parallel)	Time: 1.791s | 1791ms
Test 38 (Standard)	Time: 4.124s | 4124.0ms
Test 38 (Parallel)	Time: 1.974s | 1974ms
Test 39 (Standard)	Time: 4.238s | 4238.0ms
Test 39 (Parallel)	Time: 1.945s | 1945ms
Test 40 (Standard)	Time: 4.128s | 4128.0ms
Test 40 (Parallel)	Time: 1.712s | 1712ms
Test 41 (Standard)	Time: 4.451s | 4451.0ms
Test 41 (Parallel)	Time: 1.892s | 1892ms
Test 42 (Standard)	Time: 5.159s | 5159.0ms
Test 42 (Parallel)	Time: 1.937s | 1937ms
Test 43 (Standard)	Time: 4.358s | 4358.0ms
Test 43 (Parallel)	Time: 2.049s | 2049ms
Test 44 (Standard)	Time: 4.305s | 4305.0ms
Test 44 (Parallel)	Time: 2.265s | 2265ms
Test 45 (Standard)	Time: 5.374s | 5374.0ms
Test 45 (Parallel)	Time: 2.137s | 2137ms
Test 46 (Standard)	Time: 4.828s | 4828.0ms
Test 46 (Parallel)	Time: 2.109s | 2109ms
Test 47 (Standard)	Time: 4.469s | 4469.0ms
Test 47 (Parallel)	Time: 1.948s | 1948ms
Test 48 (Standard)	Time: 4.762s | 4762.0ms
Test 48 (Parallel)	Time: 1.937s | 1937ms
Test 49 (Standard)	Time: 4.508s | 4508.0ms
Test 49 (Parallel)	Time: 1.737s | 1737ms
Test 50 (Standard)	Time: 4.691s | 4691.0ms
Test 50 (Parallel)	Time: 1.785s | 1785ms
Test 51 (Standard)	Time: 5.628s | 5628.0ms
Test 51 (Parallel)	Time: 2.453s | 2453ms
Test 52 (Standard)	Time: 4.213s | 4213.0ms
Test 52 (Parallel)	Time: 2.247s | 2247ms
Test 53 (Standard)	Time: 4.179s | 4179.0ms
Test 53 (Parallel)	Time: 1.782s | 1782ms
Test 54 (Standard)	Time: 3.958s | 3958.0ms
Test 54 (Parallel)	Time: 1.825s | 1825ms
Test 55 (Standard)	Time: 4.063s | 4063.0ms
Test 55 (Parallel)	Time: 1.833s | 1833ms
Test 56 (Standard)	Time: 4.088s | 4088.0ms
Test 56 (Parallel)	Time: 1.981s | 1981ms
Test 57 (Standard)	Time: 3.931s | 3931.0ms
Test 57 (Parallel)	Time: 1.821s | 1821ms
