LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 1 (Standard)	Time: 4.393s | 4393.0ms
Test 1 (Parallel)	Time: 2.386s | 2386.0ms
Test 2 (Standard)	Time: 6.07s | 6070.0ms
Test 2 (Parallel)	Time: 2.71s | 2710.0ms
Test 3 (Standard)	Time: 6.19s | 6190.0ms
Test 3 (Parallel)	Time: 2.529s | 2529.0ms
Test 4 (Standard)	Time: 5.772s | 5772.0ms
Test 4 (Parallel)	Time: 2.738s | 2738.0ms
Test 5 (Standard)	Time: 5.856s | 5856.0ms
Test 5 (Parallel)	Time: 2.6s | 2600.0ms
Test 6 (Standard)	Time: 5.78s | 5780.0ms
Test 6 (Parallel)	Time: 2.868s | 2868.0ms
Test 7 (Standard)	Time: 5.731s | 5731.0ms
Test 7 (Parallel)	Time: 2.519s | 2519.0ms
Test 8 (Standard)	Time: 5.778s | 5778.0ms
Test 8 (Parallel)	Time: 2.854s | 2854.0ms
Test 9 (Standard)	Time: 5.722s | 5722.0ms
Test 9 (Parallel)	Time: 2.599s | 2599.0ms
Test 10 (Standard)	Time: 7.339s | 7339.0ms
Test 10 (Parallel)	Time: 2.876s | 2876.0ms
Test 11 (Standard)	Time: 7.011s | 7011.0ms
Test 11 (Parallel)	Time: 2.96s | 2960.0ms
Test 12 (Standard)	Time: 6.995s | 6995.0ms
Test 12 (Parallel)	Time: 2.829s | 2829.0ms
Test 13 (Standard)	Time: 7.347s | 7347.0ms
Test 13 (Parallel)	Time: 2.023s | 2023.0ms
Test 14 (Standard)	Time: 6.413s | 6413.0ms
Test 14 (Parallel)	Time: 2.926s | 2926.0ms
Test 15 (Standard)	Time: 7.388s | 7388.0ms
Test 15 (Parallel)	Time: 1.922s | 1922.0ms
Test 16 (Standard)	Time: 6.757s | 6757.0ms
Test 16 (Parallel)	Time: 2.878s | 2878.0ms
Test 17 (Standard)	Time: 7.093s | 7093.0ms
Test 17 (Parallel)	Time: 2.876s | 2876.0ms
Test 18 (Standard)	Time: 7.168s | 7168.0ms
Test 18 (Parallel)	Time: 2.907s | 2907.0ms
Test 19 (Standard)	Time: 7.148s | 7148.0ms
Test 19 (Parallel)	Time: 2.885s | 2885.0ms
Test 20 (Standard)	Time: 7.146s | 7146.0ms
Test 20 (Parallel)	Time: 2.912s | 2912.0ms
Test 21 (Standard)	Time: 7.122s | 7122.0ms
Test 21 (Parallel)	Time: 2.953s | 2953.0ms
Test 22 (Standard)	Time: 7.182s | 7182.0ms
Test 22 (Parallel)	Time: 2.87s | 2870.0ms
Test 23 (Standard)	Time: 7.193s | 7193.0ms
Test 23 (Parallel)	Time: 2.902s | 2902.0ms
Test 24 (Standard)	Time: 7.215s | 7215.0ms
Test 24 (Parallel)	Time: 2.954s | 2954.0ms
Test 25 (Standard)	Time: 7.188s | 7188.0ms
Test 25 (Parallel)	Time: 2.967s | 2967.0ms
Test 26 (Standard)	Time: 7.193s | 7193.0ms
Test 26 (Parallel)	Time: 2.98s | 2980.0ms
Test 27 (Standard)	Time: 7.196s | 7196.0ms
Test 27 (Parallel)	Time: 2.917s | 2917.0ms
Test 28 (Standard)	Time: 7.254s | 7254.0ms
Test 28 (Parallel)	Time: 3.052s | 3052.0ms
Test 29 (Standard)	Time: 7.228s | 7228.0ms
Test 29 (Parallel)	Time: 2.993s | 2993.0ms
Test 30 (Standard)	Time: 7.215s | 7215.0ms
Test 30 (Parallel)	Time: 2.824s | 2824.0ms
Test 31 (Standard)	Time: 7.236s | 7236.0ms
Test 31 (Parallel)	Time: 3.025s | 3025.0ms
Test 32 (Standard)	Time: 7.234s | 7234.0ms
Test 32 (Parallel)	Time: 2.925s | 2925.0ms
Test 33 (Standard)	Time: 7.226s | 7226.0ms
Test 33 (Parallel)	Time: 2.883s | 2883.0ms
Test 34 (Standard)	Time: 7.261s | 7261.0ms
Test 34 (Parallel)	Time: 3.019s | 3019.0ms
Test 35 (Standard)	Time: 7.233s | 7233.0ms
Test 35 (Parallel)	Time: 2.879s | 2879.0ms
Test 36 (Standard)	Time: 7.259s | 7259.0ms
Test 36 (Parallel)	Time: 2.972s | 2972.0ms
Test 37 (Standard)	Time: 7.251s | 7251.0ms
Test 37 (Parallel)	Time: 2.949s | 2949.0ms
Test 38 (Standard)	Time: 7.262s | 7262.0ms
Test 38 (Parallel)	Time: 3.061s | 3061.0ms
Test 39 (Standard)	Time: 7.267s | 7267.0ms
Test 39 (Parallel)	Time: 3.073s | 3073.0ms
Test 40 (Standard)	Time: 7.264s | 7264.0ms
Test 40 (Parallel)	Time: 2.952s | 2952.0ms
Test 41 (Standard)	Time: 7.273s | 7273.0ms
Test 41 (Parallel)	Time: 2.988s | 2988.0ms
Test 42 (Standard)	Time: 7.26s | 7260.0ms
Test 42 (Parallel)	Time: 3.042s | 3042.0ms
Test 43 (Standard)	Time: 7.29s | 7290.0ms
Test 43 (Parallel)	Time: 2.946s | 2946.0ms
Test 44 (Standard)	Time: 7.297s | 7297.0ms
Test 44 (Parallel)	Time: 2.922s | 2922.0ms
Test 45 (Standard)	Time: 7.275s | 7275.0ms
