LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 1 (Standard)	Time: 3.743s | 3743.0ms
Test 1 (Parallel)	Time: 2.329s | 2329.0ms
Test 2 (Standard)	Time: 5.609s | 5609.0ms
Test 2 (Parallel)	Time: 2.494s | 2494.0ms
Test 3 (Standard)	Time: 5.51s | 5510.0ms
Test 3 (Parallel)	Time: 2.488s | 2488.0ms
Test 4 (Standard)	Time: 5.69s | 5690.0ms
Test 4 (Parallel)	Time: 2.671s | 2671.0ms
Test 5 (Standard)	Time: 5.639s | 5639.0ms
Test 5 (Parallel)	Time: 2.6s | 2600.0ms
Test 6 (Standard)	Time: 5.811s | 5811.0ms
Test 6 (Parallel)	Time: 2.668s | 2668.0ms
Test 7 (Standard)	Time: 6.052s | 6052.0ms
Test 7 (Parallel)	Time: 2.624s | 2624.0ms
Test 8 (Standard)	Time: 6.281s | 6281.0ms
Test 8 (Parallel)	Time: 2.638s | 2638.0ms
Test 9 (Standard)	Time: 6.272s | 6272.0ms
Test 9 (Parallel)	Time: 2.632s | 2632.0ms
Test 10 (Standard)	Time: 6.282s | 6282.0ms
Test 10 (Parallel)	Time: 2.99s | 2990.0ms
Test 11 (Standard)	Time: 6.062s | 6062.0ms
Test 11 (Parallel)	Time: 2.615s | 2615.0ms
Test 12 (Standard)	Time: 6.3s | 6300.0ms
Test 12 (Parallel)	Time: 2.958s | 2958.0ms
Test 13 (Standard)	Time: 6.338s | 6338.0ms
Test 13 (Parallel)	Time: 2.811s | 2811.0ms
Test 14 (Standard)	Time: 6.291s | 6291.0ms
Test 14 (Parallel)	Time: 2.728s | 2728.0ms
Test 15 (Standard)	Time: 6.323s | 6323.0ms
Test 15 (Parallel)	Time: 3.061s | 3061.0ms
Test 16 (Standard)	Time: 6.381s | 6381.0ms
Test 16 (Parallel)	Time: 2.738s | 2738.0ms
Test 17 (Standard)	Time: 6.388s | 6388.0ms
Test 17 (Parallel)	Time: 2.659s | 2659.0ms
Test 18 (Standard)	Time: 6.346s | 6346.0ms
Test 18 (Parallel)	Time: 2.685s | 2685.0ms
Test 19 (Standard)	Time: 6.409s | 6409.0ms
Test 19 (Parallel)	Time: 3.143s | 3143.0ms
Test 20 (Standard)	Time: 6.159s | 6159.0ms
Test 20 (Parallel)	Time: 2.989s | 2989.0ms
Test 21 (Standard)	Time: 6.206s | 6206.0ms
Test 21 (Parallel)	Time: 2.675s | 2675.0ms
Test 22 (Standard)	Time: 6.375s | 6375.0ms
Test 22 (Parallel)	Time: 2.748s | 2748.0ms
Test 23 (Standard)	Time: 6.533s | 6533.0ms
Test 23 (Parallel)	Time: 3.074s | 3074.0ms
Test 24 (Standard)	Time: 6.216s | 6216.0ms
Test 24 (Parallel)	Time: 2.76s | 2760.0ms
Test 25 (Standard)	Time: 6.425s | 6425.0ms
Test 25 (Parallel)	Time: 3.025s | 3025.0ms
Test 26 (Standard)	Time: 6.068s | 6068.0ms
Test 26 (Parallel)	Time: 3.026s | 3026.0ms
Test 27 (Standard)	Time: 6.228s | 6228.0ms
Test 27 (Parallel)	Time: 2.772s | 2772.0ms
Test 28 (Standard)	Time: 6.412s | 6412.0ms
Test 28 (Parallel)	Time: 2.97s | 2970.0ms
Test 29 (Standard)	Time: 6.249s | 6249.0ms
Test 29 (Parallel)	Time: 2.992s | 2992.0ms
Test 30 (Standard)	Time: 6.227s | 6227.0ms
Test 30 (Parallel)	Time: 2.705s | 2705.0ms
Test 31 (Standard)	Time: 6.405s | 6405.0ms
Test 31 (Parallel)	Time: 3.051s | 3051.0ms
Test 32 (Standard)	Time: 6.491s | 6491.0ms
Test 32 (Parallel)	Time: 3.063s | 3063.0ms
Test 33 (Standard)	Time: 6.09s | 6090.0ms
Test 33 (Parallel)	Time: 2.717s | 2717.0ms
Test 34 (Standard)	Time: 6.459s | 6459.0ms
Test 34 (Parallel)	Time: 2.686s | 2686.0ms
Test 35 (Standard)	Time: 6.418s | 6418.0ms
Test 35 (Parallel)	Time: 3.005s | 3005.0ms
Test 36 (Standard)	Time: 6.179s | 6179.0ms
Test 36 (Parallel)	Time: 3.114s | 3114.0ms
Test 37 (Standard)	Time: 6.457s | 6457.0ms
Test 37 (Parallel)	Time: 3.02s | 3020.0ms
Test 38 (Standard)	Time: 6.166s | 6166.0ms
