ARRAY SIZE: 10000000 | NUMBER OF TESTS: 20
NUMBER OF THREADS: 0
Test (ArrayList) 1 (1 Thread)	Time: 4440225.0microsec | Memory: 1052344KB
Test (ArrayList) 1 (4 Thread)	Time: 1299893.0microsec | Memory: 537959KB
Test (ArrayList) 1 (8 Thread)	Time: 1134258.0microsec | Memory: 536895KB
Test (ArrayList) 1 (16 Thread)	Time: 1162589.0microsec | Memory: 537954KB
Test (ArrayList) 2 (1 Thread)	Time: 3203523.0microsec | Memory: 1031800KB
Test (ArrayList) 2 (4 Thread)	Time: 1110266.0microsec | Memory: 2010917KB
Test (ArrayList) 2 (8 Thread)	Time: 1145407.0microsec | Memory: 536894KB
Test (ArrayList) 2 (16 Thread)	Time: 1165366.0microsec | Memory: 536906KB
Test (ArrayList) 3 (1 Thread)	Time: 3035692.0microsec | Memory: 1031800KB
Test (ArrayList) 3 (4 Thread)	Time: 1174874.0microsec | Memory: 2000948KB
Test (ArrayList) 3 (8 Thread)	Time: 1173081.0microsec | Memory: 536890KB
Test (ArrayList) 3 (16 Thread)	Time: 1143283.0microsec | Memory: 536906KB
Test (ArrayList) 4 (1 Thread)	Time: 3041028.0microsec | Memory: 1206884KB
Test (ArrayList) 4 (4 Thread)	Time: 1113697.0microsec | Memory: 2005298KB
Test (ArrayList) 4 (8 Thread)	Time: 1162300.0microsec | Memory: 537938KB
Test (ArrayList) 4 (16 Thread)	Time: 1150078.0microsec | Memory: 536906KB
Test (ArrayList) 5 (1 Thread)	Time: 3010383.0microsec | Memory: 1031800KB
Test (ArrayList) 5 (4 Thread)	Time: 1125627.0microsec | Memory: 2005921KB
Test (ArrayList) 5 (8 Thread)	Time: 1108057.0microsec | Memory: 536888KB
Test (ArrayList) 5 (16 Thread)	Time: 1098330.0microsec | Memory: 536905KB
Test (ArrayList) 6 (1 Thread)	Time: 2980142.0microsec | Memory: 1206912KB
Test (ArrayList) 6 (4 Thread)	Time: 1104829.0microsec | Memory: 2010742KB
Test (ArrayList) 6 (8 Thread)	Time: 1082929.0microsec | Memory: 536889KB
Test (ArrayList) 6 (16 Thread)	Time: 1096532.0microsec | Memory: 537951KB
Test (ArrayList) 7 (1 Thread)	Time: 2982237.0microsec | Memory: 1206915KB
Test (ArrayList) 7 (4 Thread)	Time: 1116639.0microsec | Memory: 2006550KB
Test (ArrayList) 7 (8 Thread)	Time: 1101843.0microsec | Memory: 537938KB
Test (ArrayList) 7 (16 Thread)	Time: 1106180.0microsec | Memory: 536906KB
Test (ArrayList) 8 (1 Thread)	Time: 2997553.0microsec | Memory: 1031800KB
Test (ArrayList) 8 (4 Thread)	Time: 1138209.0microsec | Memory: 2012636KB
Test (ArrayList) 8 (8 Thread)	Time: 1152071.0microsec | Memory: 536890KB
Test (ArrayList) 8 (16 Thread)	Time: 1136003.0microsec | Memory: 536903KB
Test (ArrayList) 9 (1 Thread)	Time: 3003007.0microsec | Memory: 1031800KB
Test (ArrayList) 9 (4 Thread)	Time: 1145521.0microsec | Memory: 2010430KB
Test (ArrayList) 9 (8 Thread)	Time: 1092393.0microsec | Memory: 536891KB
Test (ArrayList) 9 (16 Thread)	Time: 1065957.0microsec | Memory: 536905KB
Test (ArrayList) 10 (1 Thread)	Time: 2999761.0microsec | Memory: 1031800KB
Test (ArrayList) 10 (4 Thread)	Time: 1072923.0microsec | Memory: 2010431KB
Test (ArrayList) 10 (8 Thread)	Time: 1138469.0microsec | Memory: 536890KB
Test (ArrayList) 10 (16 Thread)	Time: 1147147.0microsec | Memory: 537957KB
Test (ArrayList) 11 (1 Thread)	Time: 2992467.0microsec | Memory: 1206915KB
Test (ArrayList) 11 (4 Thread)	Time: 1100778.0microsec | Memory: 2010751KB
Test (ArrayList) 11 (8 Thread)	Time: 1085585.0microsec | Memory: 536890KB
Test (ArrayList) 11 (16 Thread)	Time: 1121088.0microsec | Memory: 536904KB
Test (ArrayList) 12 (1 Thread)	Time: 3006051.0microsec | Memory: 1031800KB
Test (ArrayList) 12 (4 Thread)	Time: 1114908.0microsec | Memory: 2008334KB
Test (ArrayList) 12 (8 Thread)	Time: 1108984.0microsec | Memory: 536891KB
Test (ArrayList) 12 (16 Thread)	Time: 1158463.0microsec | Memory: 536905KB
Test (ArrayList) 13 (1 Thread)	Time: 3151427.0microsec | Memory: 1031800KB
Test (ArrayList) 13 (4 Thread)	Time: 1128368.0microsec | Memory: 2010744KB
Test (ArrayList) 13 (8 Thread)	Time: 1148752.0microsec | Memory: 536889KB
Test (ArrayList) 13 (16 Thread)	Time: 1109942.0microsec | Memory: 536905KB
Test (ArrayList) 14 (1 Thread)	Time: 3005091.0microsec | Memory: 1031800KB
Test (ArrayList) 14 (4 Thread)	Time: 1128950.0microsec | Memory: 2006547KB
Test (ArrayList) 14 (8 Thread)	Time: 1083415.0microsec | Memory: 536892KB
Test (ArrayList) 14 (16 Thread)	Time: 1094493.0microsec | Memory: 536909KB
Test (ArrayList) 15 (1 Thread)	Time: 3003773.0microsec | Memory: 1031800KB
Test (ArrayList) 15 (4 Thread)	Time: 1043321.0microsec | Memory: 2011902KB
Test (ArrayList) 15 (8 Thread)	Time: 1124834.0microsec | Memory: 536891KB
Test (ArrayList) 15 (16 Thread)	Time: 1106930.0microsec | Memory: 537953KB
Test (ArrayList) 16 (1 Thread)	Time: 3001256.0microsec | Memory: 1031800KB
Test (ArrayList) 16 (4 Thread)	Time: 1142522.0microsec | Memory: 2002354KB
Test (ArrayList) 16 (8 Thread)	Time: 1094978.0microsec | Memory: 537941KB
Test (ArrayList) 16 (16 Thread)	Time: 1095776.0microsec | Memory: 536903KB
Test (ArrayList) 17 (1 Thread)	Time: 3009706.0microsec | Memory: 1031800KB
Test (ArrayList) 17 (4 Thread)	Time: 1139290.0microsec | Memory: 2005305KB
Test (ArrayList) 17 (8 Thread)	Time: 1142334.0microsec | Memory: 537939KB
